AverageMonthlyHours,Department,EmployeeId,LastEvaluation,Left,NumberProject,Promotion,SalaryType,SatisfactoryLevel,TimeSpent,WorkAccident
157,sales,1000001,0.53,1,2,0,low,0.38,3,0
262,sales,1000002,0.86,1,5,0,medium,0.8,6,0
272,sales,1000003,0.88,1,7,0,medium,0.11,4,0
223,sales,1000004,0.87,1,5,0,low,0.72,5,0
159,sales,1000005,0.52,1,2,0,low,0.37,3,0
153,sales,1000006,0.5,1,2,0,low,0.41,3,0
247,sales,1000007,0.77,1,6,0,low,0.1,4,0
259,sales,1000008,0.85,1,5,0,low,0.92,5,0
224,sales,1000009,1,1,5,0,low,0.89,5,0
142,sales,1000010,0.53,1,2,0,low,0.42,3,0
135,sales,1000011,0.54,1,2,0,low,0.45,3,0
305,sales,1000012,0.81,1,6,0,low,0.11,4,0
234,sales,1000013,0.92,1,4,0,low,0.84,5,0
148,sales,1000014,0.55,1,2,0,low,0.41,3,0
137,sales,1000015,0.56,1,2,0,low,0.36,3,0
143,sales,1000016,0.54,1,2,0,low,0.38,3,0
160,sales,1000017,0.47,1,2,0,low,0.45,3,0
255,sales,1000018,0.99,1,4,0,low,0.78,6,0
160,sales,1000019,0.51,1,2,1,low,0.45,3,1
262,sales,1000020,0.89,1,5,0,low,0.76,5,0
282,sales,1000021,0.83,1,6,0,low,0.11,4,0
147,sales,1000022,0.55,1,2,0,low,0.38,3,0
304,sales,1000023,0.95,1,6,0,low,0.09,4,0
139,sales,1000024,0.57,1,2,0,low,0.46,3,0
158,sales,1000025,0.53,1,2,0,low,0.4,3,0
242,sales,1000026,0.92,1,5,0,low,0.89,5,0
239,sales,1000027,0.87,1,4,0,low,0.82,5,0
135,sales,1000028,0.49,1,2,0,low,0.4,3,0
128,accounting,1000029,0.46,1,2,0,low,0.41,3,0
132,accounting,1000030,0.5,1,2,0,low,0.38,3,0
294,accounting,1000031,0.62,1,6,0,low,0.09,4,0
134,hr,1000032,0.57,1,2,0,low,0.45,3,0
145,hr,1000033,0.51,1,2,0,low,0.4,3,0
140,hr,1000034,0.55,1,2,0,low,0.45,3,0
246,hr,1000035,0.87,1,4,0,low,0.84,6,0
255,technical,1000036,0.94,1,6,0,low,0.1,4,0
137,technical,1000037,0.46,1,2,0,low,0.38,3,0
126,technical,1000038,0.5,1,2,0,low,0.45,3,0
306,technical,1000039,0.89,1,6,0,low,0.11,4,0
152,technical,1000040,0.54,1,2,0,low,0.41,3,0
269,technical,1000041,0.88,1,5,0,low,0.87,5,0
158,technical,1000042,0.48,1,2,0,low,0.45,3,0
127,technical,1000043,0.46,1,2,0,low,0.4,3,0
281,technical,1000044,0.8,1,7,0,low,0.1,4,0
276,technical,1000045,0.89,1,6,0,low,0.09,4,0
182,technical,1000046,0.74,1,3,0,low,0.84,4,0
147,support,1000047,0.55,1,2,0,low,0.4,3,0
273,support,1000048,0.7,1,3,0,low,0.57,6,0
148,support,1000049,0.54,1,2,0,low,0.4,3,0
147,support,1000050,0.47,1,2,0,low,0.43,3,0
152,support,1000051,0.78,1,6,0,low,0.13,2,0
135,support,1000052,0.55,1,2,0,low,0.44,3,0
134,support,1000053,0.55,1,2,0,low,0.38,3,0
132,support,1000054,0.54,1,2,0,low,0.39,3,0
307,support,1000055,0.92,1,7,0,low,0.1,4,0
140,support,1000056,0.46,1,2,0,low,0.37,3,0
255,support,1000057,0.94,1,7,0,low,0.11,4,0
309,technical,1000058,0.81,1,6,0,low,0.1,4,0
128,technical,1000059,0.54,1,2,0,low,0.38,3,0
225,technical,1000060,1,1,4,0,low,0.85,5,0
226,management,1000061,0.91,1,5,0,medium,0.85,5,0
308,IT,1000062,0.93,1,7,0,medium,0.11,4,0
244,IT,1000063,0.95,1,6,0,medium,0.1,5,0
132,IT,1000064,0.56,1,2,0,medium,0.36,3,0
286,IT,1000065,0.94,1,6,0,medium,0.11,4,0
161,IT,1000066,0.7,1,6,0,medium,0.81,4,0
153,product_mng,1000067,0.54,1,2,0,medium,0.43,3,0
264,product_mng,1000068,0.98,1,4,0,medium,0.9,6,0
223,product_mng,1000069,0.86,1,5,0,medium,0.76,5,1
135,product_mng,1000070,0.5,1,2,0,medium,0.43,3,0
277,IT,1000071,0.99,1,2,0,medium,0.74,3,0
275,product_mng,1000072,0.77,1,5,0,medium,0.09,4,0
149,product_mng,1000073,0.49,1,2,0,high,0.45,3,0
295,product_mng,1000074,0.87,1,7,0,low,0.09,4,0
277,product_mng,1000075,0.97,1,6,0,medium,0.11,4,0
306,product_mng,1000076,0.79,1,7,0,medium,0.11,4,0
295,product_mng,1000077,0.83,1,6,0,medium,0.1,4,0
137,marketing,1000078,0.54,1,2,0,medium,0.4,3,0
157,sales,1000079,0.56,1,2,0,low,0.43,3,0
142,accounting,1000080,0.56,1,2,0,low,0.39,3,0
140,support,1000081,0.54,1,2,0,low,0.45,3,0
151,technical,1000082,0.49,1,2,0,low,0.38,3,0
139,management,1000083,0.59,1,4,1,low,0.79,3,0
249,marketing,1000084,0.85,1,4,0,low,0.84,6,0
291,marketing,1000085,0.77,1,6,0,low,0.11,4,0
305,marketing,1000086,0.87,1,6,0,low,0.11,4,0
232,sales,1000087,0.84,1,5,0,low,0.17,3,0
132,sales,1000088,0.45,1,2,0,low,0.44,3,0
130,sales,1000089,0.57,1,2,0,low,0.37,3,0
291,sales,1000090,0.79,1,6,0,low,0.1,4,0
130,sales,1000091,0.5,1,2,0,low,0.4,3,0
246,sales,1000092,1,1,5,0,low,0.89,5,0
143,sales,1000093,0.48,1,2,0,low,0.42,3,0
129,sales,1000094,0.55,1,2,0,low,0.46,3,0
255,sales,1000095,0.83,1,6,0,low,0.09,4,0
155,sales,1000096,0.51,1,2,0,low,0.37,3,0
265,sales,1000097,0.77,1,6,0,low,0.1,4,0
279,sales,1000098,0.84,1,6,0,low,0.1,4,0
284,sales,1000099,0.97,1,6,0,low,0.11,4,0
221,sales,1000100,1,1,5,0,medium,0.9,6,0
154,sales,1000101,0.52,1,2,0,medium,0.38,3,0
147,sales,1000102,0.52,1,2,0,medium,0.36,3,0
150,sales,1000103,0.46,1,2,0,medium,0.42,3,0
267,sales,1000104,0.94,1,7,0,medium,0.09,4,0
158,sales,1000105,0.52,1,2,0,medium,0.43,3,0
224,accounting,1000106,0.46,1,7,0,medium,0.24,5,0
257,accounting,1000107,1,1,4,0,medium,0.91,5,0
148,accounting,1000108,0.5,1,2,0,medium,0.44,3,0
177,hr,1000109,0.87,1,3,0,medium,0.71,4,0
155,hr,1000110,0.49,1,2,0,medium,0.4,3,0
144,hr,1000111,0.47,1,2,0,medium,0.43,3,0
289,hr,1000112,0.85,1,6,0,high,0.09,4,0
160,technical,1000113,0.52,1,2,0,low,0.43,3,0
258,technical,1000114,0.96,1,4,0,medium,0.9,5,0
234,technical,1000115,1,1,5,0,medium,0.84,5,0
137,technical,1000116,0.48,1,2,0,medium,0.37,3,0
263,technical,1000117,0.68,1,5,0,medium,0.86,2,0
251,technical,1000118,0.84,1,6,0,low,0.11,4,0
133,technical,1000119,0.57,1,2,0,low,0.37,3,0
132,technical,1000120,0.46,1,2,0,low,0.4,3,0
158,technical,1000121,0.62,1,4,0,low,0.14,4,1
135,technical,1000122,0.46,1,2,0,low,0.4,3,0
216,technical,1000123,1,1,4,0,low,0.75,6,0
300,support,1000124,0.84,1,6,0,low,0.11,5,1
138,support,1000125,0.49,1,2,0,low,0.46,3,0
260,support,1000126,0.92,1,6,0,low,0.11,4,0
132,support,1000127,0.49,1,2,0,low,0.38,3,0
183,support,1000128,0.89,1,3,0,low,0.7,5,0
250,support,1000129,0.82,1,6,0,low,0.09,4,0
151,support,1000130,0.45,1,2,0,low,0.37,3,0
292,support,1000131,0.83,1,6,0,low,0.1,4,0
140,support,1000132,0.57,1,2,0,low,0.38,3,0
221,support,1000133,1,1,5,0,low,0.9,5,0
138,support,1000134,0.51,1,2,0,low,0.44,3,0
132,technical,1000135,0.5,1,2,0,low,0.36,3,0
133,technical,1000136,0.84,1,7,0,low,0.31,5,0
283,technical,1000137,0.84,1,6,0,low,0.1,4,1
129,management,1000138,0.48,1,2,0,low,0.42,3,0
249,IT,1000139,1,1,4,0,low,0.74,5,0
257,IT,1000140,0.87,1,5,0,low,0.73,5,0
245,IT,1000141,0.96,1,6,0,low,0.09,4,0
